HHID  1 - 6
OPROXY  1004 - 1005
ORESCODE  1006 - 1009
OSUBHH  1010 - 1010
OSUBHHIW  1011 - 1011
OWGTHH  1012 - 1016
OWGTR  1017 - 1021
OWHY0HWT  1022 - 1022
OWHY0RWT  1023 - 1023
OWGTRNH  1024 - 1028
PAGE  1029 - 1031
PALIVE  1032 - 1032
PCOUPID  1033 - 1038
PCOUPLE  1039 - 1039
PFAMR  1040 - 1040
PFINR  1041 - 1041
PINSAMP  1042 - 1042
PIWLANG  1043 - 1043
PIWMODE  1044 - 1044
PIWMONTH  1045 - 1046
PIWTYPE  1047 - 1048
PIWWAVE  1049 - 1049
PIWYEAR  1050 - 1053
PLIVARR  1054 - 1054
PMARST  1055 - 1055
PNEWSP  1056 - 1056
PNURSHM  1057 - 1057
PPPN  1058 - 1060
PPROXY  1061 - 1062
PRESCODE  1063 - 1066
PSUBHH  1067 - 1067
PSUBHHIW  1068 - 1068
VERSION  1069 - 1069
